feature,importance
points_per_race,0.1294701269762347
podium_rate,0.12737289370575194
avg_position_so_far,0.12536211321344215
avg_position_last_5,0.10001487943818604
qualifying_time_from_pole,0.0940743943431255
win_rate,0.09127043621322804
driver_number,0.06038843229861886
constructor_wins_so_far,0.058261268080515856
grid_position,0.05692512978704657
qualifying_position,0.050436406446119304
wins_so_far,0.03734064257864878
q3_time,0.012065314226356589
podiums_so_far,0.011977307977781475
points_so_far,0.011524382871419185
constructor_points_so_far,0.011329784359303098
q2_time,0.007224507742718763
qualifying_best_time,0.0035911644482449824
avg_humidity,0.00351510066911913
q1_time,0.0029864155904571915
avg_air_temp,0.002508970738074094
avg_wind_speed,0.001221991116978218
races_so_far,0.0005861298804062367
avg_track_temp,0.0005522072982234118
max_rainfall,1.424497659302597e-17
had_rain,2.951821018120965e-18
circuit_wins_history,0.0
circuit_races_history,0.0
circuit_avg_position,0.0
circuit_length,0.0
