feature,importance
points_per_race,0.18988003
win_rate,0.11489086
avg_position_last_5,0.069771364
constructor_points_so_far,0.055488646
avg_position_so_far,0.055379253
qualifying_position,0.046579204
avg_air_temp,0.044313487
grid_position,0.04397759
podium_rate,0.041497823
avg_humidity,0.040282015
qualifying_time_from_pole,0.036276486
q3_time,0.031648804
points_so_far,0.028139701
avg_track_temp,0.027700821
avg_wind_speed,0.0250992
q2_time,0.02121815
races_so_far,0.019466411
qualifying_best_time,0.016198741
podiums_so_far,0.015837358
q1_time,0.015127823
wins_so_far,0.014532575
had_rain,0.012655206
max_rainfall,0.012302627
driver_number,0.011661049
constructor_wins_so_far,0.010074733
circuit_length,0.0
circuit_avg_position,0.0
circuit_races_history,0.0
circuit_wins_history,0.0
